idperson,name,lastname,birthdate,gender,birthplace,home,studiedat,workplaces,films,groupcode
ESP44,ESPERANZA,HARTZHEIM,31-7-1993,female,Dayr az Zawr,Zacatecoluca,Abakan;Eisenstadt;Cherkasy,Galway;Surat Thani;Quezaltenango;Cagliari,Titanic;Harry Potter 3: Prisoner of Azkeban;Beverly Hills Cop;Ghost Busters;The Upside of Anger;Independence Day;The Departed;Gods and Monsters,G0000
RAM70,RAMIRO,LOWITZ,14-7-1981,male,Cerro De Pasco,Yen Bai,Haka,Palangkaraya;Casablanca,Forrest Gump;Pirates 2: Dead Man’s Chest;Spider-Man 2,G0000
DEV87,DEVON,CRAPANZANO,23-6-1921,male,Lusaka,Popondetta,Ashgabat;Chitre,Vavoua;Nuku' alofa;Diyarbakir;Parana,Lord of the Rings: The Return of the King;Chicago;Pirates 3: At World’s End;Million Dollar Baby;Titanic;Star Wars: Phantom Menace,G0000
SEE50,SEE,BLEVENS,3-4-1925,female,Las Tablas,Merida,Louang Namtha,Nykobing;Rijeka;Concord;Samut Sakhon,Run Lola Run;Quinceanera;Lord of the Rings: The Return of the King;Harry Potter 2: Chamber of Secrets;The Empire Strikes Back;Pirates 3: At World’s End;The Lion King;The Good Girl,G0000
WYA72,WYATT,LUNETTA,7-7-1936,male,Nancy,Polygyros,Lichinga;Nazareth,Osaka,A Beautiful Mind;Shrek the Third;Shakespeare in Love;Star Wars;American Beauty,G0000
MAS12,MASON,JUENGER,22-3-1968,male,Chinandega,Al Kasab,Honolulu,Mbale;Nakhon Ratchasima;Acapulco,Raiders of the Lost Ark;American Beauty;In the Company of Men;Titanic,G0000
BRE19,BRENT,CARLIN,26-1-1908,male,Saint Paul,Gisborne,Aybak;Gorzow Wielkopolski;Adamstown,Bururi;Moss;Dnipropetrovs'k;Porto,You Can Count on Me,G0000
LAT80,LATISHA,HARWARD,26-4-1902,female,Termez,Kawasaki,Kabul;Manisa;Bilbao,Kibuye;Fria;Elblag;Umuahia,Harry Potter 1: Sorcerer’s Stone;Ghost Busters;Thirteen,G0000
ALA40,ALAN,HAYAKAWA,11-6-1926,male,Daloa,Aktyubinsk,Ondorhaan,Arhus,Home Alone;Pirates 3: At World’s End;Beverly Hills Cop,G0000
Jon232,Jon,Garcia,3-3-1990,male,Donostia,Donostia,LaSalle;UPV/EHU;Stanford,Connecticut,Star Wars;The Godfather;The Godfather: Part II,G0001
Mikel34,Jon Mikel,Lopez de Haro,9-9-1700,male,Bilbao,Caracas,Lizeoa;UPV/EHU,Caracas,The Lord of the Rings;Forrest Gump,G0001
Roberto22,Roberto,Egia,4-4-1933,male,Vitoria-Gasteiz,Vitoria-Gasteiz,The Becket School;Paris-Sorbonne,Paris;Vitoria-Gasteiz,Alien;Life is Beautiful;Toy Story 3,G0001
Leire1,Leire,Alba-Aguirre,5-5-1955,female,Tolosa,Seville,Insti Penaflorida;Imperial College,London;Madrid;New York,The Matrix;Forrest Gump;Casablanca,G0001
Bizenta223,Bizenta,Juaristi,1-1-1501,female,Azkoitia,La Paz,Onati,Bolivia,12 Angry Men;Fight Club,G0001
Arantza22,Aranzazu,Bidaurreta,3-3-1833,female,Larraitz,Amezketa,Tolosa,Paris;Nice,Goodfellas;Taxi Driver;Double Indemnity,G0001
Agnetta33,Agnetta,Bensson,1-1-1940,female,Sweden,London,Stockholm,Stockholm;London;Oslo;Paris,The Intouchables;To Kill a Mockingbird;Reservoir Dogs;Cinema Paradiso,G0001
Gisella11,Gisella,Fabricci,3-3-1993,female,Torino,Donostia,Rome;UPV/EHU,Rome;Madrid;Donostia,The Lion King;The Third Man;Star Wars: Episode VI - Return of the Jedi;Princess Mononoke,G0001
